column,dtype,missing_count,missing_pct,unique_values,is_key_column
con_fhd_flag,float64,156,100.0,0,False
epistaxe_flag,float64,156,100.0,0,False
evidencia_flag,float64,156,100.0,0,False
gengivo_flag,float64,156,100.0,0,False
hematura_flag,float64,156,100.0,0,False
laco_n_flag,float64,156,100.0,0,False
mani_hemor_flag,float64,156,100.0,0,False
metro_flag,float64,156,100.0,0,False
petequias_flag,float64,156,100.0,0,False
plaq_menor_flag,float64,156,100.0,0,False
plasmatico_flag,float64,156,100.0,0,False
sangram_flag,float64,156,100.0,0,False
grav_ast_flag,float64,60,38.4615,20,False
grav_consc_flag,float64,60,38.4615,25,False
grav_conv_flag,float64,60,38.4615,26,False
grav_ench_flag,float64,60,38.4615,22,False
grav_extre_flag,float64,60,38.4615,28,False
grav_hemat_flag,float64,60,38.4615,25,False
grav_hipot_flag,float64,60,38.4615,26,False
grav_insuf_flag,float64,60,38.4615,21,False
grav_melen_flag,float64,60,38.4615,24,False
grav_metro_flag,float64,60,38.4615,21,False
grav_mioc_flag,float64,60,38.4615,10,False
grav_orgao_flag,float64,60,38.4615,25,False
grav_pulso_flag,float64,60,38.4615,23,False
grav_sang_flag,float64,60,38.4615,17,False
grav_taqui_flag,float64,60,38.4615,24,False
alrm_abdom_flag,float64,1,0.641,87,False
alrm_hemat_flag,float64,1,0.641,60,False
alrm_hepat_flag,float64,1,0.641,45,False
alrm_hipot_flag,float64,1,0.641,73,False
alrm_letar_flag,float64,1,0.641,73,False
alrm_liq_flag,float64,1,0.641,57,False
alrm_plaq_flag,float64,1,0.641,94,False
alrm_sang_flag,float64,1,0.641,81,False
alrm_vom_flag,float64,1,0.641,76,False
ANO_EPI,int64,0,0.0,3,False
ANO_SEMANA,object,0,0.0,156,True
NOTIFICACOES,int64,0,0.0,147,True
SEMANA_EPI,int64,0,0.0,52,False
acido_pept_flag,float64,0,0.0,143,False
artralgia_flag,float64,0,0.0,155,False
artrite_flag,float64,0,0.0,154,False
atraso_notificacao_dias,float64,0,0.0,156,False
auto_imune_flag,float64,0,0.0,146,False
caso_chikungunya,float64,0,0.0,1,False
caso_confirmado_provavel,float64,0,0.0,155,False
caso_dengue_alarme,float64,0,0.0,156,False
caso_dengue_grave,float64,0,0.0,89,False
caso_descartado,float64,0,0.0,1,False
caso_inconclusivo,float64,0,0.0,155,False
cefaleia_flag,float64,0,0.0,156,False
cluster_intensity_id,int64,0,0.0,2,False
cluster_intensity_label,object,0,0.0,2,True
cluster_profile_id,int64,0,0.0,6,False
cluster_profile_label,object,0,0.0,6,True
conjuntvit_flag,float64,0,0.0,145,False
criterio_clinico,float64,0,0.0,130,False
criterio_clinico_epi,float64,0,0.0,155,False
criterio_lab,float64,0,0.0,155,False
diabetes_flag,float64,0,0.0,154,False
dor_costas_flag,float64,0,0.0,155,False
dor_retro_flag,float64,0,0.0,156,False
dt_sin_pri_max,datetime64[ns],0,0.0,156,False
dt_sin_pri_min,datetime64[ns],0,0.0,156,False
exantema_flag,float64,0,0.0,153,False
febre_flag,float64,0,0.0,156,False
gestante,float64,0,0.0,155,False
hematolog_flag,float64,0,0.0,148,False
hepatopat_flag,float64,0,0.0,141,False
hipertensa_flag,float64,0,0.0,154,False
hospitalizado,float64,0,0.0,152,False
humidity_mean,float64,0,0.0,155,True
idade_anos,float64,0,0.0,156,False
inmet_days,int64,0,0.0,1,False
laco_flag,float64,0,0.0,134,False
leucopenia_flag,float64,0,0.0,154,False
mialgia_flag,float64,0,0.0,155,False
nausea_flag,float64,0,0.0,156,False
obito_agravo,float64,0,0.0,55,False
obito_outras_causas,float64,0,0.0,85,False
petequia_n_flag,float64,0,0.0,153,False
pressure_mean,float64,0,0.0,156,True
raca_amarela,float64,0,0.0,148,False
raca_branca,float64,0,0.0,152,False
raca_indigena,float64,0,0.0,96,False
raca_parda,float64,0,0.0,156,False
raca_preta,float64,0,0.0,152,False
rain_mean,float64,0,0.0,85,False
rain_nonzero_days,int64,0,0.0,8,False
rain_sum,float64,0,0.0,86,True
renal_flag,float64,0,0.0,138,False
sexo_fem,float64,0,0.0,155,False
sexo_masc,float64,0,0.0,156,False
temp_max,float64,0,0.0,66,False
temp_mean,float64,0,0.0,156,True
temp_min,float64,0,0.0,76,False
temp_range,float64,0,0.0,107,False
vomito_flag,float64,0,0.0,156,False
week_start,datetime64[ns],0,0.0,156,True
wind_speed_mean,float64,0,0.0,151,True
